id	name	latitude	longitude	streetAddress	addressLocality	addressRegion	postalCode	AddressCountry	facility	type
northern-derbyshire-magistrates-court-and-family-court	Northern Derbyshire Magistrates' Court and Family Court	53.23696083594745	-1.423743531269977						Baby changing facility,Guide dogs,Video facilities,Refreshments,Disabled access,Interview room,Loop Hearing,Baby changing facility	Magistrates Court,Family court
bridgend-law-courts	Bridgend Law Courts	51.5042548656082	-3.582717676670458						Baby changing facility,Video facilities,Guide dogs,Interview room,Disabled access,Disabled toilet,Loop Hearing,Prayer / Quiet room,Public toilets,Refreshments,Waiting Room,Witness care	Family court,Magistrates Court,County Court
glasgow-tribunal-hearing-centre-wellington-house	Glasgow Tribunal Hearing Centre (Wellington House)	55.8639131126481	-4.25876355046488						Loop Hearing,Disabled access,Video facilities,Disabled toilet,First Aid,Guide dogs,Interview room,Public toilets,Refreshments,Waiting Room	Tribunal
bodmin-county-court-and-family-court	Bodmin County Court and Family Court	50.46952713166196	-4.708864729833457						Baby changing facility,Interview room,Loop Hearing,Parking,Refreshments,Guide dogs,Video facilities	Family court,County Court
swindon-magistrates-court	Swindon Magistrates' Court	51.56083187483471	-1.781061100481397						Loop Hearing,Parking,Refreshments,Disabled access,Baby changing facility,Video facilities,Guide dogs	Magistrates Court
plymouth-combined-court	Plymouth Combined Court	50.36919398667464	-4.141693801017979						Guide dogs,Video facilities,Refreshments,Loop Hearing,Disabled access,Witness care	Crown Court,County Court,Family court
north-somerset-magistrates-court	North Somerset Magistrates' Court	51.3608031593535	-2.90509473272019						Baby changing facility,Guide dogs,Loop Hearing,Refreshments,Interview room	Magistrates Court
isle-of-wight-combined-court	Isle of Wight Combined Court	50.70120848081491	-1.291858299301815						Guide dogs,Interview room,Loop Hearing,Refreshments,Disabled access	Crown Court,County Court,Family court
preston-magistrates-court	Preston Magistrates' Court	53.76353386920648	-2.70238471501666						Baby changing facility,Guide dogs,Interview room,Video facilities,Disabled access,Loop Hearing,Refreshments	Magistrates Court
carlisle-combined-court	Carlisle Combined Court	54.89355895227781	-2.931247545384483						Guide dogs,Loop Hearing,Refreshments,Wireless network connection,Disabled access,Video facilities	Crown Court
thames-magistrates-court	Thames Magistrates' Court	51.52707384537281	-0.02359412091768607						Baby changing facility,Guide dogs,Interview room,Loop Hearing,Video facilities,Disabled access	Magistrates Court
wales-enforcement-office	Wales Enforcement  Office	51.59181097916993	-3.785143661768767							
inner-london-crown-court	Inner London Crown Court	51.49818277415027	-0.09653509248865078						Guide dogs,Video facilities,Refreshments,Interview room,Disabled access,Prayer / Quiet room,Loop Hearing,Wireless network connection	Crown Court
yeovil-county-court-and-family-court	Yeovil County Court and Family Court	50.94055229504551	-2.635009815893335						Guide dogs,Interview room,Refreshments,Disabled access,No parking,Children facilities,Loop Hearing	Family court,County Court
grimsby-magistrates-court-and-family-court	Grimsby Magistrates' Court and Family Court	53.5679088429915	-0.08169236509812784						Guide dogs,Baby changing facility,Parking,Video facilities,Refreshments,Disabled access,Interview room,Loop Hearing	Tribunal,Family court,Magistrates Court
cardiff-civil-and-family-justice-centre	Cardiff Civil and Family Justice Centre	51.47824079427627	-3.179690100774156						Baby changing facility,Guide dogs,Interview room,Video facilities,Disabled access,Loop Hearing,Refreshments	
sheffield-combined-court-centre	Sheffield Combined Court Centre	53.38555573860109	-1.468739006337766						Interview room,Loop Hearing,Wireless network connection,Video facilities,Refreshments,Disabled access,No parking,Guide dogs	Crown Court
newton-aycliffe-magistrates-court-and-family-court	Newton Aycliffe Magistrates' Court and Family Court	54.62049788845199	-1.569676652039282						Baby changing facility,Interview room,Loop Hearing,Disabled access,Parking,Guide dogs,Refreshments,Video facilities	Magistrates Court,Family court
hartlepool-county-court-and-family-court	Hartlepool County Court and Family Court	54.68578198437893	-1.214005206139601						Baby changing facility,Guide dogs,Interview room,Loop Hearing,Refreshments,Disabled access	Family court,County Court
haverfordwest-county-court-and-family-court	Haverfordwest County Court and Family Court	51.80099955979597	-4.98059383129688						Baby changing facility,Children facilities,Loop Hearing,Disabled access,Refreshments,Interview room,Video facilities,Prayer / Quiet room,Parking	County Court
llanelli-county-court-and-family-court	Llanelli County Court and Family Court	51.68211361662362	-4.163128504656471						Guide dogs,Interview room,Loop Hearing,Children facilities,Parking,Disabled access	County Court
leicester-county-court-and-family-court	Leicester County Court and Family Court	52.63005253798484	-1.127105356871472						Guide dogs,Interview room,Children facilities,Parking,Video facilities,Baby changing facility,Loop Hearing,Refreshments,Disabled access	Family court,County Court
northampton-crown-court-county-court-and-family-court	Northampton Crown Court, County Court and Family Court	52.2408030271539	-0.8936399253030133						Baby changing facility,Interview room,Guide dogs,Loop Hearing,Wireless network connection,Video facilities,Disabled access,No parking,Refreshments	Family court,County Court,Crown Court
croydon-crown-court	Croydon Crown Court	51.37333817528926	-0.0921486285213919						Baby changing facility,Guide dogs,Loop Hearing,Interview room,Wireless network connection,Refreshments,Disabled access,Video facilities	Crown Court
north-tyneside-magistrates-court	North Tyneside Magistrates' Court	55.01144735064917	-1.443348111722053						Disabled access,Interview room,Video facilities,Loop Hearing,Guide dogs,Baby changing facility	Magistrates Court
newcastle-employment-tribunal	Newcastle Employment Tribunal	54.97104899248123	-1.599337154183997						Loop Hearing,Interview room,No parking	Tribunal
rhyl-county-court-and-family-court	Rhyl County Court and Family Court	53.32019914685782	-3.488506569802256						Guide dogs,Loop Hearing,Baby changing facility,Children facilities,Interview room,Parking,Disabled access	County Court
caernarfon-county-court-and-family-court	Caernarfon County Court and Family Court	53.14042912271542	-4.264334943933475						Baby changing facility,Children facilities,Guide dogs,Interview room,Loop Hearing,Parking,Prayer / Quiet room,Disabled access,Refreshments	County Court
feltham-magistrates-court	Feltham Magistrates' Court	51.44751986080112	-0.4058790072113536						Baby changing facility,Children facilities,Guide dogs,Interview room,Loop Hearing,Refreshments,Disabled access	Magistrates Court
bristol-civil-and-family-justice-centre	Bristol Civil and Family Justice Centre	51.45239588358307	-2.590567032894931						Parking,Interview room,Prayer / Quiet room,Refreshments,Children facilities,Baby changing facility,Disabled access,Loop Hearing,Video facilities,Guide dogs,Wireless network connection	County Court,Family court
york-crown-court	York Crown Court	53.95504666389839	-1.079453802035312						Baby changing facility,Interview room,Loop Hearing,Wireless network connection,Guide dogs,First Aid,Public toilets,Video facilities,Waiting Room,Baby changing facility,Refreshments	Crown Court
great-grimsby-combined-court-centre	Great Grimsby Combined Court Centre	53.56484310012786	-0.08223883158102305						Children facilities,Guide dogs,Interview room,Loop Hearing,Disabled access,Baby changing facility,Refreshments,Video facilities	Crown Court
kingston-upon-hull-combined-court-centre	Kingston-upon-Hull Combined Court Centre	53.74409906146547	-0.3317156991214816						Baby changing facility,Guide dogs,Interview room,Loop Hearing,Wireless network connection,Video facilities,Disabled access,Refreshments	Crown Court
bradford-and-keighley-magistrates-court-and-family-court	Bradford  and Keighley Magistrates' Court and Family Court	53.79176751580426	-1.754175756562888						Baby changing facility,Guide dogs,Interview room,Video facilities,Loop Hearing,Refreshments	Family court,Magistrates Court
halifax-county-court-and-family-court	Halifax County Court and Family Court	53.71927718327525	-1.860157152918378						Baby changing facility,Guide dogs,Loop Hearing,Refreshments,Disabled access,Disabled toilet,Public toilets,First Aid,Interview room	Family court,County Court
wakefield-civil-and-family-justice-centre	Wakefield Civil and Family Justice Centre	53.68280357312614	-1.50422105605746						Disabled access,Disabled toilet,Waiting Room,Interview room,Refreshments,Witness care,Baby changing facility,First Aid,Guide dogs,Loop Hearing,Prayer / Quiet room,Video facilities,Public toilets	County Court,Family court,Tribunal
nottingham-employment-tribunal	Nottingham Employment Tribunal	52.9472828452496	-1.14935417677694						Disabled access,No parking,Interview room,Loop Hearing,Refreshments	Tribunal
